Model,RMSE_Train,MAE_Train,R2_Train,RMSE_Test,MAE_Test,R2_Test
Random Forest Regressor,0.11800549444440131,0.09337730798294527,0.9861808525227377,0.29216750958602195,0.23326995575862286,0.91788567008479
XGBoost Regressor,0.05290244613789093,0.040192633867263794,0.9972226619720459,0.3010987797956913,0.2432791292667389,0.9127886295318604
