Model,RMSE_Train,MAE_Train,R2_Train,RMSE_Test,MAE_Test,R2_Test,RMSE_Val,MAE_Val,R2_Val
OLS Linear Regression,0.2723848630525737,0.2141910959546768,0.9263720459780592,0.2367016441043168,0.1810327562807847,0.9461038597006612,,,
1D CNN,0.2989182305215772,0.2359080463647842,0.9131737947463988,0.313023355455864,0.2483711391687393,0.9057440757751464,0.3192831806618454,0.2587778270244598,0.8892671465873718
Random Forest Regressor,0.1180054944444013,0.0933773079829452,0.9861808525227376,0.2921675095860219,0.2332699557586228,0.91788567008479,,,
XGBoost Regressor,0.0529024461378909,0.0401926338672637,0.997222661972046,0.3010987797956913,0.2432791292667389,0.9127886295318604,,,
CART Decision Tree,0.2217522003217175,0.1726647363300814,0.951200803710955,0.3613161811862438,0.2816245167897512,0.8744172645150512,,,
